Date,MSFT,AAPL
1999-12-31,38.965767,3.303425
2000-01-03,38.903194,3.596616
2000-01-04,37.589046,3.293384
2000-01-05,37.985374,3.341579
2000-01-06,36.71294,3.052405
2000-01-07,37.192707,3.196992
2000-01-10,37.463867,3.140763
2000-01-11,36.504345,2.980111
2000-01-12,35.315346,2.801384
2000-01-13,35.982849,3.108633
2000-01-14,37.463867,3.227114
2000-01-18,38.485996,3.339571
2000-01-19,35.711666,3.423914
2000-01-20,35.377911,3.646819
2000-01-21,34.626968,3.576534
2000-01-24,33.792599,3.413873
2000-01-25,34.314075,3.606657
2000-01-26,33.166782,3.540388
2000-01-27,32.958199,3.534363
2000-01-28,32.791317,3.26527
2000-01-31,32.666164,3.333547
2000-02-01,34.355797,3.22109
2000-02-02,33.646576,3.174902
2000-02-03,34.585247,3.319489
2000-02-04,35.565659,3.470102
2000-02-07,35.586525,3.664894
2000-02-08,36.692062,3.691
2000-02-09,34.710411,3.618706
2000-02-10,35.377911,3.646819
2000-02-11,33.354527,3.494199
2000-02-14,33.250229,3.721122
2000-02-15,32.895615,3.823538
2000-02-16,32.582741,3.666902
2000-02-17,33.250229,3.691
2000-02-18,31.727478,3.574527
2000-02-22,31.310287,3.65686
2000-02-23,31.456308,3.735179
2000-02-24,31.62319,3.701541
2000-02-25,30.475908,3.546412
2000-02-28,30.559351,3.638787
2000-02-29,29.829262,3.682966
2000-03-01,30.309034,4.187015
2000-03-02,31.164282,3.91993
2000-03-03,32.082096,4.112713
2000-03-06,30.246462,4.038411
2000-03-07,30.997404,3.948044
2000-03-08,31.89436,3.91993
2000-03-09,33.375401,3.927962
2000-03-10,33.709156,4.040419
2000-03-13,32.707882,3.89784
2000-03-14,31.748344,3.670918
2000-03-15,31.831785,3.735179
2000-03-16,31.831785,3.905873
2000-03-17,33.166782,4.016321
2000-03-20,32.49931,3.95206
2000-03-21,34.293205,4.335619
2000-03-22,34.460106,4.632829
2000-03-23,37.33873,4.540451
2000-03-24,37.276146,4.456108
2000-03-27,34.731262,4.484223
2000-03-28,34.81469,4.470166
2000-03-29,35.774242,4.36775
2000-03-30,34.50182,4.040419
2000-03-31,35.461346,4.363732
2000-04-03,30.329891,4.283408
2000-04-04,29.55809,4.090623
2000-04-05,28.82799,4.189024
2000-04-06,28.702829,4.022346
2000-04-07,29.724951,4.233203
2000-04-10,28.723696,4.016321
2000-04-11,27.993605,3.837595
2000-04-12,26.49172,3.510265
2000-04-13,26.449987,3.65686
2000-04-14,24.739513,3.594608
2000-04-17,25.323578,3.980175
2000-04-18,26.888042,4.076567
