Date,PG
2007-01-03,46.849339
2007-01-04,46.493664
2007-01-05,46.094406
2007-01-08,46.196045
2007-01-09,46.079914
2007-01-10,46.631596
2007-01-11,46.92194
2007-01-12,47.183273
2007-01-16,47.183273
2007-01-17,47.671959
2007-01-18,47.803234
2007-01-19,48.204388
2007-01-22,47.934513
2007-01-23,47.876171
2007-01-24,47.781353
2007-01-25,47.351017
2007-01-26,47.307255
2007-01-29,47.321846
2007-01-30,47.110332
2007-01-31,47.314545
2007-02-01,47.657349
2007-02-02,47.657349
2007-02-05,47.518784
2007-02-06,47.110332
2007-02-07,47.030094
2007-02-08,47.110332
2007-02-09,46.993633
2007-02-12,46.796696
2007-02-13,47.197849
2007-02-14,47.321846
2007-02-15,47.402065
2007-02-16,47.460426
2007-02-20,47.321846
2007-02-21,47.183273
2007-02-22,47.197849
2007-02-23,47.278088
2007-02-26,47.000916
2007-02-27,44.67421
2007-02-28,46.308002
2007-03-01,46.446594
2007-03-02,46.067329
2007-03-05,45.797451
2007-03-06,45.906857
2007-03-07,45.279591
2007-03-08,45.447346
2007-03-09,45.337936
2007-03-12,45.286888
2007-03-13,44.615868
2007-03-14,44.754452
2007-03-15,45.155602
2007-03-16,44.936779
2007-03-19,45.20665
2007-03-20,45.425465
2007-03-21,45.921436
2007-03-22,46.57058
2007-03-23,46.534115
2007-03-26,46.607059
2007-03-27,46.147549
2007-03-28,45.957909
2007-03-29,46.140251
2007-03-30,46.067329
2007-04-02,45.965206
2007-04-03,45.877678
2007-04-04,45.987095
2007-04-05,45.950626
2007-04-09,46.140251
2007-04-10,46.103786
2007-04-11,45.979786
2007-04-12,46.329906
2007-04-13,46.227776
2007-04-16,46.483055
2007-04-17,46.607059
2007-04-18,46.504944
2007-04-19,46.40284
2007-04-20,46.534115
2007-04-23,46.410126
2007-04-24,46.483055
2007-04-25,46.593071
2007-04-26,46.197037
2007-04-27,46.189705
2007-04-30,47.23114
2007-05-01,46.175026
2007-05-02,45.742325
2007-05-03,45.470963
2007-05-04,45.771652
2007-05-07,45.602978
2007-05-08,45.287613
2007-05-09,45.478294
2007-05-10,45.096931
2007-05-11,45.214283
2007-05-14,45.265621
2007-05-15,45.522293
2007-05-16,46.439064
2007-05-17,46.475731
2007-05-18,46.556404
2007-05-21,46.402382
