Date,WMT,FB
2013-12-31,71.126411,54.650002
2014-01-02,71.325287,54.709999
2014-01-03,71.090279,54.560001
2014-01-06,70.692558,57.200001
2014-01-07,70.909485,57.919998
2014-01-08,70.349083,58.23
2014-01-09,70.584076,57.220001
2014-01-10,70.538902,57.939999
2014-01-13,70.041756,55.91
2014-01-14,70.466599,57.740002
2014-01-15,70.195419,57.599998
2014-01-16,69.38192,57.189999
2014-01-17,68.866714,56.299999
2014-01-21,68.550354,58.509998
2014-01-22,68.107437,57.509998
2014-01-23,67.754944,56.630001
2014-01-24,67.266838,54.450001
2014-01-27,67.022789,53.549999
2014-01-28,67.492798,55.139999
2014-01-29,66.9776,53.529999
2014-01-30,67.565117,61.080002
2014-01-31,67.501854,62.57
2014-02-03,65.676025,61.48
2014-02-04,65.739304,62.75
2014-02-05,65.865829,62.189999
2014-02-06,65.820633,62.16
2014-02-07,66.661247,64.32
2014-02-10,66.67028,63.549999
2014-02-11,67.610329,64.849998
2014-02-12,67.754944,64.449997
2014-02-13,68.116486,67.330002
2014-02-14,68.505165,67.089996
2014-02-18,68.089378,67.300003
2014-02-19,67.655518,68.059998
2014-02-20,66.453362,69.629997
2014-02-21,66.091805,68.589996
2014-02-24,66.29969,70.779999
2014-02-25,66.29969,69.849998
2014-02-26,67.592247,69.260002
2014-02-27,67.393387,68.940002
2014-02-28,67.519928,68.459999
2014-03-03,66.995667,67.410004
2014-03-04,67.908607,68.800003
2014-03-05,67.610329,71.57
2014-03-06,67.68264,70.839996
2014-03-07,67.846382,69.800003
2014-03-10,67.709938,72.029999
2014-03-11,68.155685,70.099998
2014-03-12,68.710609,70.879997
2014-03-13,68.16478,68.830002
2014-03-14,67.573456,67.720001
2014-03-17,67.937347,68.739998
2014-03-18,68.019234,69.190002
2014-03-19,67.664429,68.239998
2014-03-20,68.574142,66.970001
2014-03-21,69.229141,67.239998
2014-03-24,69.829552,64.099998
2014-03-25,69.929626,64.889999
2014-03-26,69.347404,60.389999
2014-03-27,69.265526,60.970001
2014-03-28,69.147285,60.009998
2014-03-31,69.529358,60.240002
2014-04-01,69.838654,62.619999
2014-04-02,70.211624,62.720001
2014-04-03,70.466354,59.490002
2014-04-04,70.329895,56.75
2014-04-07,70.329895,56.950001
2014-04-08,71.121353,58.189999
2014-04-09,70.930305,62.41
2014-04-10,69.947815,59.16
2014-04-11,69.593033,58.529999
2014-04-14,70.393585,58.889999
2014-04-15,69.938705,59.09
2014-04-16,70.248024,59.720001
2014-04-17,70.648293,58.939999
2014-04-21,70.593704,61.240002
2014-04-22,70.557312,63.029999
2014-04-23,70.993988,61.360001
2014-04-24,71.239601,60.869999
2014-04-25,71.521622,57.709999
2014-04-28,72.558701,56.139999
2014-04-29,72.476814,58.150002
2014-04-30,72.513191,59.779999
2014-05-01,72.50412,61.150002
2014-05-02,71.976471,60.459999
2014-05-05,71.521622,61.220001
2014-05-06,70.96669,58.529999
2014-05-07,71.360298,57.389999
2014-05-08,72.028488,56.759998
2014-05-09,72.495323,57.240002
2014-05-12,72.449547,59.830002
2014-05-13,72.440392,59.830002
2014-05-14,72.074257,59.23
2014-05-15,70.325951,57.919998
2014-05-16,70.490715,58.02
2014-05-19,70.124573,59.209999
2014-05-20,69.282471,58.560001
2014-05-21,69.255005,60.490002
2014-05-22,69.007858,60.52
2014-05-23,69.209229,61.349998
2014-05-27,69.190918,63.48
2014-05-28,69.136009,63.509998
2014-05-29,69.547897,63.830002
2014-05-30,70.271027,63.299999
2014-06-02,70.261879,63.080002
2014-06-03,70.216103,62.869999
2014-06-04,70.600555,63.34
2014-06-05,70.774483,63.189999
2014-06-06,70.673782,62.5
2014-06-09,70.490715,62.880001
2014-06-10,70.13372,65.769997
2014-06-11,69.712677,65.779999
2014-06-12,69.319077,64.290001
2014-06-13,68.907166,64.5
2014-06-16,68.962074,64.190002
2014-06-17,68.641701,64.400002
2014-06-18,69.291618,65.599998
2014-06-19,69.447227,64.339996
2014-06-20,69.273315,64.5
2014-06-23,69.373985,65.370003
2014-06-24,69.53875,65.720001
2014-06-25,69.218399,67.440002
2014-06-26,68.568504,67.129997
2014-06-27,68.962074,67.599998
2014-06-30,68.714958,67.290001
2014-07-01,68.907166,68.059998
2014-07-02,69.218399,66.449997
2014-07-03,69.337379,66.290001
2014-07-07,69.630287,65.290001
2014-07-08,70.161194,62.759998
2014-07-09,70.673782,64.970001
2014-07-10,70.536476,64.870003
2014-07-11,70.316803,66.339996
2014-07-14,70.069664,67.900002
2014-07-15,70.335114,67.169998
2014-07-16,70.353416,67.660004
2014-07-17,70.124573,66.410004
2014-07-18,70.563927,68.419998
2014-07-21,70.271027,69.400002
2014-07-22,70.152031,69.269997
2014-07-23,70.472397,71.290001
2014-07-24,69.886574,74.980003
2014-07-25,69.53875,75.190002
2014-07-28,69.300766,74.919998
2014-07-29,69.053635,73.709999
2014-07-30,68.449493,74.68
2014-07-31,67.351059,72.650002
2014-08-01,67.314468,72.360001
2014-08-04,67.314468,73.510002
2014-08-05,67.131386,72.690002
2014-08-06,68.366043,72.470001
2014-08-07,68.135696,73.169998
2014-08-08,68.799088,73.059998
2014-08-11,68.513458,73.440002
2014-08-12,68.384468,72.830002
2014-08-13,68.209404,73.769997
2014-08-14,68.541092,74.300003
2014-08-15,68.08963,73.629997
2014-08-18,68.633232,74.589996
2014-08-19,68.992592,75.290001
2014-08-20,69.066284,74.809998
2014-08-21,69.609909,74.57
2014-08-22,69.775742,74.57
2014-08-25,69.738899,75.019997
2014-08-26,69.58226,75.959999
2014-08-27,69.886322,74.629997
2014-08-28,69.932373,73.860001
2014-08-29,69.56382,74.82
2014-09-02,69.794174,76.68
2014-09-03,70.033745,75.830002
2014-09-04,70.540482,75.949997
2014-09-05,71.415794,77.260002
2014-09-08,70.51284,77.889999
2014-09-09,70.706322,76.669998
2014-09-10,70.494408,77.43
2014-09-11,70.116646,77.919998
2014-09-12,69.812614,77.480003
2014-09-15,69.849457,74.580002
2014-09-16,70.319344,76.080002
2014-09-17,70.245644,76.43
2014-09-18,70.227226,77.0
2014-09-19,70.79847,77.910004
2014-09-22,70.310143,76.800003
2014-09-23,69.655968,78.290001
2014-09-24,71.019615,78.540001
2014-09-25,70.135078,77.220001
2014-09-26,70.475998,78.790001
2014-09-29,70.098228,79.0
2014-09-30,70.45755,79.040001
2014-10-01,70.135078,76.550003
2014-10-02,70.23645,77.080002
2014-10-03,71.240738,77.440002
2014-10-06,71.268372,77.559998
2014-10-07,71.222305,76.290001
2014-10-08,72.088402,77.519997
2014-10-09,71.738266,75.910004
2014-10-10,72.134468,72.910004
2014-10-13,71.461853,72.989998
2014-10-14,71.848839,73.589996
2014-10-15,69.287415,73.209999
2014-10-16,68.01593,72.629997
2014-10-17,68.273918,75.949997
2014-10-20,69.23214,76.949997
2014-10-21,70.042938,78.690002
2014-10-22,70.052139,78.370003
2014-10-23,70.254845,80.040001
2014-10-24,70.374641,80.669998
2014-10-27,70.568108,80.279999
2014-10-28,70.346985,80.769997
2014-10-29,70.383858,75.860001
2014-10-30,70.439133,74.110001
2014-10-31,70.273285,74.989998
2014-11-03,70.282494,73.879997
2014-11-04,71.185455,75.760002
2014-11-05,71.590843,74.830002
2014-11-06,71.692192,75.260002
2014-11-07,72.576729,75.599998
2014-11-10,73.194046,75.0
2014-11-11,72.797867,74.610001
2014-11-12,72.9729,74.720001
2014-11-13,76.418854,74.25
2014-11-14,76.437279,74.879997
2014-11-17,76.999329,74.239998
2014-11-18,77.202026,74.339996
2014-11-19,78.307686,73.330002
2014-11-20,77.929924,73.599998
2014-11-21,77.994408,73.75
2014-11-24,78.68544,74.010002
2014-11-25,78.270821,75.629997
2014-11-26,78.298462,77.620003
2014-11-28,80.657181,77.699997
2014-12-01,79.440971,75.099998
2014-12-02,79.606827,75.459999
2014-12-03,78.698837,74.879997
2014-12-04,78.532051,75.239998
2014-12-05,77.939087,76.360001
2014-12-08,78.041008,76.519997
2014-12-09,77.420235,76.839996
2014-12-10,76.882835,76.18
2014-12-11,77.670387,77.730003
2014-12-12,77.651848,77.830002
2014-12-15,77.772316,76.989998
2014-12-16,76.864311,74.690002
2014-12-17,78.041008,76.110001
2014-12-18,79.625351,78.400002
2014-12-19,78.902664,79.879997
2014-12-22,80.033035,81.449997
2014-12-23,80.29245,80.610001
2014-12-24,80.079338,80.769997
2014-12-26,80.524078,80.779999
2014-12-29,80.273911,80.019997
2014-12-30,80.412903,79.220001
2014-12-31,79.569763,78.019997
2015-01-02,79.588287,78.449997
2015-01-05,79.356651,77.190002
2015-01-06,79.968155,76.150002
2015-01-07,82.089905,76.150002
