Date,MSFT
1999-12-31,38.965767
2000-01-03,38.903194
2000-01-04,37.589046
2000-01-05,37.985374
2000-01-06,36.71294
2000-01-07,37.192707
2000-01-10,37.463867
2000-01-11,36.504345
2000-01-12,35.315346
2000-01-13,35.982849
2000-01-14,37.463867
2000-01-18,38.485996
2000-01-19,35.711666
2000-01-20,35.377911
2000-01-21,34.626968
2000-01-24,33.792599
2000-01-25,34.314075
2000-01-26,33.166782
2000-01-27,32.958199
2000-01-28,32.791317
2000-01-31,32.666164
2000-02-01,34.355797
2000-02-02,33.646576
2000-02-03,34.585247
2000-02-04,35.565659
2000-02-07,35.586525
2000-02-08,36.692062
2000-02-09,34.710411
2000-02-10,35.377911
2000-02-11,33.354527
2000-02-14,33.250229
2000-02-15,32.895615
2000-02-16,32.582741
2000-02-17,33.250229
2000-02-18,31.727478
2000-02-22,31.310287
2000-02-23,31.456308
2000-02-24,31.62319
2000-02-25,30.475908
2000-02-28,30.559351
2000-02-29,29.829262
2000-03-01,30.309034
2000-03-02,31.164282
2000-03-03,32.082096
2000-03-06,30.246462
2000-03-07,30.997404
2000-03-08,31.89436
2000-03-09,33.375401
2000-03-10,33.709156
2000-03-13,32.707882
2000-03-14,31.748344
2000-03-15,31.831785
2000-03-16,31.831785
2000-03-17,33.166782
2000-03-20,32.49931
2000-03-21,34.293205
2000-03-22,34.460106
2000-03-23,37.33873
2000-03-24,37.276146
2000-03-27,34.731262
2000-03-28,34.81469
2000-03-29,35.774242
2000-03-30,34.50182
2000-03-31,35.461346
2000-04-03,30.329891
2000-04-04,29.55809
2000-04-05,28.82799
2000-04-06,28.702829
2000-04-07,29.724951
2000-04-10,28.723696
2000-04-11,27.993605
2000-04-12,26.49172
2000-04-13,26.449987
2000-04-14,24.739513
2000-04-17,25.323578
2000-04-18,26.888042
2000-04-19,26.26226
2000-04-20,26.345697
2000-04-24,22.236355
2000-04-25,23.154181
2000-04-26,22.695265
2000-04-27,23.3002
2000-04-28,23.279339
2000-05-01,24.51005
2000-05-02,23.321051
2000-05-03,23.550514
2000-05-04,23.508791
2000-05-05,23.738247
2000-05-08,23.3002
2000-05-09,22.63269
2000-05-10,22.090342
2000-05-11,22.653547
2000-05-12,22.966442
2000-05-15,23.154181
2000-05-16,23.195906
2000-05-17,22.590969
2000-05-18,22.090342
2000-05-19,21.714865
2000-05-22,21.422829
2000-05-23,21.089077
2000-05-24,21.881744
2000-05-25,20.525866
2000-05-26,20.505003
2000-05-30,21.151653
2000-05-31,20.880474
2000-06-01,21.547985
2000-06-02,22.132055
2000-06-05,22.319796
2000-06-06,23.237614
2000-06-07,23.529657
2000-06-08,22.966442
2000-06-09,22.966442
2000-06-12,22.319796
2000-06-13,22.653547
2000-06-14,23.529657
2000-06-15,24.155441
2000-06-16,24.218019
2000-06-19,24.593487
2000-06-20,25.010681
2000-06-21,26.929764
2000-06-22,26.658596
2000-06-23,25.928511
2000-06-26,26.533442
2000-06-27,26.303993
2000-06-28,26.345697
2000-06-29,25.761635
2000-06-30,26.700317
2000-07-03,26.700317
2000-07-05,26.199682
2000-07-06,27.013203
2000-07-07,27.367825
2000-07-10,26.512566
2000-07-11,26.408278
2000-07-12,26.804611
2000-07-13,26.679459
2000-07-14,26.345697
2000-07-17,26.095385
2000-07-18,26.199682
2000-07-19,24.405764
2000-07-20,24.968969
2000-07-21,24.134583
2000-07-24,23.550514
2000-07-25,23.029022
2000-07-26,22.63269
2000-07-27,23.154181
2000-07-28,23.258472
2000-07-31,23.3002
2000-08-01,22.924728
2000-08-02,23.154181
2000-08-03,23.446207
2000-08-04,23.070745
2000-08-07,23.362776
2000-08-08,24.739513
2000-08-09,24.781223
2000-08-10,24.238876
2000-08-11,24.176304
2000-08-14,24.092863
2000-08-15,23.905119
2000-08-16,23.696526
2000-08-17,23.88427
2000-08-18,23.696526
2000-08-21,23.571375
2000-08-22,23.779966
2000-08-23,23.613091
2000-08-24,23.738247
2000-08-25,23.571375
2000-08-28,23.800823
2000-08-29,23.675671
2000-08-30,23.362776
2000-08-31,23.3002
2000-09-01,23.425352
2000-09-05,23.404488
2000-09-06,23.175037
2000-09-07,23.383638
2000-09-08,23.13332
2000-09-11,22.966442
2000-09-12,22.736986
2000-09-13,22.778704
2000-09-14,21.965181
2000-09-15,21.422829
2000-09-18,21.026497
2000-09-19,21.694002
2000-09-20,21.443682
2000-09-21,21.422829
2000-09-22,21.109936
2000-09-25,20.442427
2000-09-26,20.922195
2000-09-27,20.233837
2000-09-28,20.463285
2000-09-29,20.129534
2000-10-02,19.733202
2000-10-03,18.877962
2000-10-04,18.502481
2000-10-05,18.481627
2000-10-06,18.544201
2000-10-09,18.085293
2000-10-10,18.210447
2000-10-11,18.606787
2000-10-12,18.147877
2000-10-13,17.939278
2000-10-16,16.812859
2000-10-17,16.833717
2000-10-18,17.271767
2000-10-19,20.651024
2000-10-20,21.756586
2000-10-23,20.734467
2000-10-24,20.525866
2000-10-25,20.442427
2000-10-26,21.506264
2000-10-27,22.590969
2000-10-30,23.049879
2000-10-31,22.987303
2000-11-01,23.237614
2000-11-02,23.467073
2000-11-03,22.778704
2000-11-06,23.195906
2000-11-07,23.529657
2000-11-08,23.175037
2000-11-09,23.654808
2000-11-10,22.486673
2000-11-13,22.173779
2000-11-14,22.966442
2000-11-15,23.383638
2000-11-16,23.008158
2000-11-17,23.049879
2000-11-20,22.424088
2000-11-21,22.611824
2000-11-22,22.778704
2000-11-24,23.341913
2000-11-27,23.592232
2000-11-28,22.361515
2000-11-29,21.714865
2000-11-30,19.149137
2000-12-01,18.898817
2000-12-04,18.836233
2000-12-05,19.983515
2000-12-06,18.919676
2000-12-07,17.730673
2000-12-08,18.168739
2000-12-11,19.378593
2000-12-12,19.482883
2000-12-13,19.10742
2000-12-14,18.523344
2000-12-15,16.416527
2000-12-18,15.957609
2000-12-19,14.956348
2000-12-20,13.850787
2000-12-21,14.497445
2000-12-22,15.498702
2000-12-26,15.64471
2000-12-27,15.498702
2000-12-28,14.872909
2000-12-29,14.476571
2001-01-02,14.476571
2001-01-03,15.99933
2001-01-04,16.166206
2001-01-05,16.395658
2001-01-08,16.333082
2001-01-09,17.292624
2001-01-10,17.647247
2001-01-11,18.35647
2001-01-12,17.855833
2001-01-16,17.542936
2001-01-17,17.668095
2001-01-18,18.523344
2001-01-19,20.358984
2001-01-22,20.066957
2001-01-23,20.212976
2001-01-24,21.005636
2001-01-25,20.630165
2001-01-26,21.36025
2001-01-29,21.527122
2001-01-30,21.151653
2001-01-31,20.379845
2001-02-01,20.817898
2001-02-02,20.296412
2001-02-05,20.671881
2001-02-06,20.880474
2001-02-07,21.589705
2001-02-08,20.77618
2001-02-09,19.733202
2001-02-12,19.608047
2001-02-13,19.420309
2001-02-14,19.482883
2001-02-15,19.628902
2001-02-16,19.128269
2001-02-20,18.6485
2001-02-21,18.773661
2001-02-22,18.41905
2001-02-23,18.940535
2001-02-26,19.879217
2001-02-27,19.816647
2001-02-28,19.691479
2001-03-01,19.81139
2001-03-02,18.919676
2001-03-05,19.169991
2001-03-06,19.837502
2001-03-07,20.254688
2001-03-08,19.774921
2001-03-09,18.919676
2001-03-12,17.334343
2001-03-13,18.085293
2001-03-14,18.022707
2001-03-15,17.918417
2001-03-16,18.210447
2001-03-19,18.127008
2001-03-20,17.58466
2001-03-21,16.708553
2001-03-22,18.022707
2001-03-23,18.877962
2001-03-26,18.711084
2001-03-27,19.441164
2001-03-28,18.544201
2001-03-29,18.481627
2001-03-30,18.252172
2001-04-02,18.62764
2001-04-03,17.814114
