Date,MSFT,^GSPC
2012-01-03,23.031868,1277.060059
2012-01-04,23.573898,1277.300049
2012-01-05,23.814798,1281.060059
2012-01-06,24.184755,1277.810059
2012-01-09,23.866419,1280.699951
2012-01-10,23.952452,1292.079956
2012-01-11,23.849216,1292.47998
2012-01-12,24.090115,1295.5
2012-01-13,24.305206,1289.089966
2012-01-17,24.313807,1293.670044
2012-01-18,24.287996,1308.040039
2012-01-19,24.193356,1314.5
2012-01-20,25.561331,1315.380005
2012-01-23,25.578541,1316
2012-01-24,25.242998,1314.650024
2012-01-25,25.432276,1326.060059
2012-01-26,25.380651,1318.430054
2012-01-27,25.148355,1316.329956
2012-01-30,25.475296,1313.01001
2012-01-31,25.406467,1312.410034
2012-02-01,25.716196,1324.089966
2012-02-02,25.767817,1325.540039
2012-02-03,26.017323,1344.900024
2012-02-06,25.982904,1344.329956
2012-02-07,26.111963,1347.050049
2012-02-08,26.378674,1349.959961
2012-02-09,26.473316,1351.949951
2012-02-10,26.241018,1342.640015
2012-02-13,26.309845,1351.77002
2012-02-14,26.197262,1350.5
2012-02-15,26.024057,1343.22998
2012-02-16,27.097935,1358.040039
2012-02-17,27.063288,1361.22998
2012-02-21,27.227829,1362.209961
2012-02-22,27.08061,1357.660034
2012-02-23,27.167208,1363.459961
2012-02-24,27.26247,1365.73999
2012-02-27,27.149889,1367.589966
2012-02-28,27.600222,1372.180054
2012-02-29,27.487642,1365.680054
2012-03-01,27.963957,1374.089966
2012-03-02,27.782093,1369.630005
2012-03-05,27.539598,1364.329956
2012-03-06,27.331758,1343.359985
2012-03-07,27.574242,1352.630005
2012-03-08,27.721468,1365.910034
2012-03-09,27.704149,1370.869995
2012-03-12,27.747446,1371.089966
2012-03-13,28.293043,1395.949951
2012-03-14,28.379648,1394.280029
2012-03-15,28.448923,1402.599976
2012-03-16,28.23242,1404.170044
2012-03-19,27.886005,1409.75
2012-03-20,27.704149,1405.52002
2012-03-21,27.634863,1402.890015
2012-03-22,27.712805,1392.780029
2012-03-23,27.721468,1397.109985
2012-03-26,28.223764,1416.51001
2012-03-27,28.163137,1412.52002
2012-03-28,27.877348,1405.540039
2012-03-29,27.816727,1403.280029
2012-03-30,27.937971,1408.469971
2012-04-02,27.963957,1419.040039
2012-04-03,27.660845,1413.380005
2012-04-04,27.028646,1398.959961
2012-04-05,27.297123,1398.079956
2012-04-09,26.933386,1382.199951
